record_id,building_id,date,electricity_kwh,natural_gas_kwh,renewable_kwh,peak_demand_kw,occupancy_rate,operating_hours,is_statistical_outlier
27,B001,2020-01-27,4679.44,524.66,0.0,573.49,1.0,10.0,False
28,B001,2020-01-28,3450.34,282.01,0.0,459.57,0.393,10.0,False
29,B001,2020-01-29,3500.0,317.46,0.0,405.14,0.207,10.0,False
30,B001,2020-01-30,3965.78,435.05,0.0,524.68,0.304,10.0,False
31,B001,2020-01-31,4940.19,574.96,0.0,620.26,0.273,10.0,False
32,B001,2020-02-01,4813.63,685.18,0.0,1619.77,0.074,4.0,False
33,B001,2020-02-02,3574.44,421.48,0.0,1102.24,0.012,4.0,False
34,B001,2020-02-03,3985.18,445.62,0.0,460.1,0.318,10.0,False
35,B001,2020-02-04,4348.85,499.5,0.0,583.1,0.276,10.0,False
36,B001,2020-02-05,4727.98,537.29,0.0,559.38,0.273,10.0,False
37,B001,2020-02-06,4686.53,476.18,0.0,594.93,0.36,10.0,False
38,B001,2020-02-07,4804.46,593.15,0.0,652.56,0.278,10.0,False
39,B001,2020-02-08,3674.73,388.74,0.0,1268.93,0.096,4.0,False
40,B001,2020-02-09,3667.38,405.64,0.0,1110.76,0.053,4.0,False
41,B001,2020-02-10,4808.48,581.76,0.0,653.73,0.255,10.0,False
42,B001,2020-02-11,4074.75,350.66,0.0,547.66,0.373,10.0,False
43,B001,2020-02-12,4160.07,407.88,0.0,574.46,0.331,10.0,False
44,B001,2020-02-13,4880.27,578.45,0.0,660.68,0.364,10.0,False
45,B001,2020-02-14,4269.74,428.75,0.0,500.57,0.258,10.0,False
46,B001,2020-02-15,4889.77,615.82,0.0,1694.42,0.138,4.0,False
47,B001,2020-02-16,4224.74,487.82,0.0,1221.14,0.172,4.0,False
48,B001,2020-02-17,3866.66,341.72,0.0,477.88,0.299,10.0,False
49,B001,2020-02-18,4223.43,425.36,0.0,526.79,0.379,10.0,False
50,B001,2020-02-19,4301.18,435.75,0.0,546.82,0.32,10.0,False
51,B001,2020-02-20,3662.59,334.35,0.0,442.74,0.3,10.0,False
52,B001,2020-02-21,4047.86,388.51,0.0,478.03,0.182,10.0,False
53,B001,2020-02-22,4173.21,447.74,0.0,1418.12,0.141,4.0,False
54,B001,2020-02-23,3839.79,348.28,0.0,1257.97,0.15,4.0,False
55,B001,2020-02-24,5026.22,631.44,0.0,637.69,0.357,10.0,False
56,B001,2020-02-25,4975.51,551.83,0.0,668.53,0.26,10.0,False
57,B001,2020-02-26,4333.05,445.43,0.0,597.44,0.298,10.0,False
58,B001,2020-02-27,3723.56,348.63,0.0,449.05,0.22,10.0,False
59,B001,2020-02-28,4415.51,461.82,0.0,543.43,0.219,10.0,False
60,B001,2020-02-29,4187.51,519.58,0.0,1448.44,0.146,4.0,False
61,B001,2020-03-01,4628.31,580.01,0.0,1488.02,0.183,4.0,False
62,B001,2020-03-02,4290.99,425.8,0.0,523.63,0.365,10.0,False
63,B001,2020-03-03,4497.52,469.05,0.0,535.0,0.322,10.0,False
64,B001,2020-03-04,4669.18,510.8,0.0,652.37,0.402,10.0,False
65,B001,2020-03-05,4340.57,481.41,0.0,557.22,0.28,10.0,False
66,B001,2020-03-06,4004.85,377.32,0.0,546.89,0.345,10.0,False
67,B001,2020-03-07,2808.7,219.93,0.0,919.15,0.054,4.0,False
68,B001,2020-03-08,3170.2,294.03,0.0,999.34,0.0,4.0,False
69,B001,2020-03-09,3547.33,271.7,0.0,484.06,0.276,10.0,False
70,B001,2020-03-10,3567.05,349.74,0.0,442.0,0.294,10.0,False
71,B001,2020-03-11,3913.67,339.06,0.0,525.26,0.312,10.0,False
72,B001,2020-03-12,3149.01,234.05,0.0,397.83,0.291,10.0,False
73,B001,2020-03-13,3944.02,366.96,0.0,542.05,0.318,10.0,False
74,B001,2020-03-14,3358.84,301.72,0.0,1071.31,0.207,4.0,False
75,B001,2020-03-15,3626.03,342.69,0.0,1116.32,0.157,4.0,False
76,B001,2020-03-16,3345.72,271.54,0.0,445.46,0.262,10.0,False
77,B001,2020-03-17,3018.61,230.35,0.0,412.05,0.174,10.0,False
78,B001,2020-03-18,3561.4,294.16,0.0,485.33,0.246,10.0,False
79,B001,2020-03-19,4136.84,370.41,0.0,525.21,0.367,10.0,False
80,B001,2020-03-20,4658.9,491.46,0.0,587.04,0.275,10.0,False
81,B001,2020-03-21,3039.66,273.63,0.0,950.2,0.154,4.0,False
82,B001,2020-03-22,3489.28,302.29,0.0,1011.73,0.152,4.0,False
83,B001,2020-03-23,3608.81,289.79,0.0,499.05,0.297,10.0,False
84,B001,2020-03-24,3523.0,285.93,0.0,469.02,0.296,10.0,False
85,B001,2020-03-25,2989.48,184.56,0.0,386.9,0.267,10.0,False
86,B001,2020-03-26,3960.22,356.9,0.0,513.19,0.411,10.0,False
87,B001,2020-03-27,4109.44,413.88,0.0,474.98,0.252,10.0,False
88,B001,2020-03-28,3723.75,350.84,0.0,1176.18,0.176,4.0,False
89,B001,2020-03-29,3132.68,271.4,0.0,1081.04,0.1185,4.0,False
90,B001,2020-03-30,3142.16,200.95,0.0,397.64,0.331,10.0,False
91,B001,2020-03-31,3919.71,367.0,0.0,507.68,0.294,10.0,False
92,B001,2020-04-01,3776.66,343.66,0.0,469.92,0.226,10.0,False
93,B001,2020-04-02,3254.93,227.24,0.0,382.86,0.243,10.0,False
94,B001,2020-04-03,2815.07,179.25,0.0,346.5,0.261,10.0,False
95,B001,2020-04-04,3548.89,332.28,0.0,1039.18,0.138,4.0,False
96,B001,2020-04-05,3687.89,352.88,0.0,1193.63,0.165,4.0,False
97,B001,2020-04-06,3356.64,274.35,0.0,468.4,0.316,10.0,False
98,B001,2020-04-07,2767.51,173.15,0.0,343.36,0.313,10.0,False
99,B001,2020-04-08,3100.21,211.23,0.0,423.06,0.352,10.0,False
100,B001,2020-04-09,3213.69,253.47,0.0,373.01,0.196,10.0,False
101,B001,2020-04-10,2677.27,157.9,0.0,341.69,0.19,10.0,False
102,B001,2020-04-11,2577.86,169.88,0.0,846.58,0.043,4.0,False
103,B001,2020-04-12,2652.54,179.98,0.0,815.53,0.166,4.0,False
104,B001,2020-04-13,3453.37,298.18,0.0,405.63,0.2,10.0,False
105,B001,2020-04-14,3545.22,264.5,0.0,427.01,0.3,10.0,False
106,B001,2020-04-15,1796.74,74.86,0.0,209.77,0.254,10.0,False
107,B001,2020-04-16,2966.89,199.66,0.0,407.07,0.308,10.0,False
108,B001,2020-04-17,2991.24,222.32,0.0,344.34,0.293,10.0,False
109,B001,2020-04-18,3009.76,199.18,0.0,878.36,0.133,4.0,False
110,B001,2020-04-19,2433.07,144.17,0.0,820.51,0.1,4.0,False
111,B001,2020-04-20,2239.23,109.5,0.0,274.29,0.335,10.0,False
112,B001,2020-04-21,2464.1,126.49,0.0,305.84,0.373,10.0,False
113,B001,2020-04-22,2931.22,194.8,0.0,359.56,0.363,10.0,False
114,B001,2020-04-23,2157.88,89.91,0.0,296.21,0.282,10.0,False
115,B001,2020-04-24,1805.22,83.9,0.0,249.51,0.257,10.0,False
116,B001,2020-04-25,2483.87,151.29,0.0,858.3,0.13,4.0,False
117,B001,2020-04-26,2409.15,135.48,0.0,738.91,0.219,4.0,False
118,B001,2020-04-27,2017.93,93.79,0.0,242.17,0.297,10.0,False
119,B001,2020-04-28,2090.72,87.11,0.0,283.71,0.342,10.0,False
120,B001,2020-04-29,2910.67,207.3,0.0,396.5,0.339,10.0,False
121,B001,2020-04-30,2605.88,131.66,0.0,322.76,0.339,10.0,False
122,B001,2020-05-01,2446.79,124.94,0.0,316.74,0.364,10.0,False
123,B001,2020-05-02,2280.28,129.48,0.0,711.27,0.054,4.0,False
124,B001,2020-05-03,2100.49,117.55,0.0,605.86,0.072,4.0,False
125,B001,2020-05-04,2588.69,107.86,0.0,324.28,0.302,10.0,False
126,B001,2020-05-05,2093.82,87.24,0.0,287.64,0.362,10.0,False
127,B001,2020-05-06,3794.64,158.11,0.0,517.77,0.361,10.0,False
128,B001,2020-05-07,2490.17,131.21,0.0,292.83,0.298,10.0,False
129,B001,2020-05-08,2080.88,90.03,0.0,255.27,0.35,10.0,False
130,B001,2020-05-09,1882.83,78.45,0.0,550.01,0.099,4.0,False
131,B001,2020-05-10,2782.73,115.95,0.0,851.87,0.079,4.0,False
132,B001,2020-05-11,2730.18,113.76,0.0,334.29,0.234,10.0,False
133,B001,2020-05-12,2003.69,83.49,0.0,233.09,0.293,10.0,False
134,B001,2020-05-13,2260.03,122.78,0.0,310.49,0.283,10.0,False
135,B001,2020-05-14,2387.86,116.77,0.0,324.74,0.35,10.0,False
136,B001,2020-05-15,2290.82,95.45,0.0,316.62,0.328,10.0,False
137,B001,2020-05-16,3078.11,128.25,0.0,1028.16,0.123,4.0,False
138,B001,2020-05-17,2204.54,122.77,0.0,738.53,0.123,4.0,False
139,B001,2020-05-18,2468.04,127.37,0.0,332.4,0.279,10.0,False
140,B001,2020-05-19,2444.87,101.87,0.0,322.43,0.211,10.0,False
141,B001,2020-05-20,2296.07,118.49,0.0,274.15,0.241,10.0,False
142,B001,2020-05-21,2182.17,106.12,0.0,260.65,0.339,10.0,False
143,B001,2020-05-22,3552.3,148.01,0.0,452.95,0.293,10.0,False
144,B001,2020-05-23,2075.64,86.49,0.0,686.34,0.054,4.0,False
145,B001,2020-05-24,2068.01,86.17,0.0,598.39,0.188,4.0,False
146,B001,2020-05-25,4132.42,172.18,0.0,531.68,0.385,10.0,False
147,B001,2020-05-26,2111.39,94.17,0.0,289.64,0.36,10.0,False
148,B001,2020-05-27,2179.2,100.7,0.0,257.47,0.321,10.0,False
149,B001,2020-05-28,4297.95,179.08,0.0,527.89,0.314,10.0,False
150,B001,2020-05-29,2821.85,117.58,0.0,394.12,0.299,10.0,False
151,B001,2020-05-30,2857.84,119.08,0.0,880.37,0.128,4.0,False
152,B001,2020-05-31,2488.98,103.71,0.0,720.05,0.151,4.0,False
153,B001,2020-06-01,2799.46,116.64,0.0,369.78,0.335,10.0,False
154,B001,2020-06-02,2592.81,108.03,0.0,361.87,0.323,10.0,False
155,B001,2020-06-03,2625.35,109.39,0.0,317.05,0.136,10.0,False
156,B001,2020-06-04,4134.28,172.26,0.0,497.77,0.358,10.0,False
157,B001,2020-06-05,3296.62,137.36,0.0,414.7,0.31,10.0,False
158,B001,2020-06-06,3379.4,140.81,0.0,1084.77,0.052,4.0,False
159,B001,2020-06-07,3362.92,140.12,0.0,1138.07,0.13,4.0,False
160,B001,2020-06-08,2135.2,88.97,0.0,298.58,0.315,10.0,False
161,B001,2020-06-09,3177.82,132.41,0.0,430.04,0.221,10.0,False
162,B001,2020-06-10,2774.37,115.6,0.0,339.23,0.268,10.0,False
163,B001,2020-06-11,3646.04,151.92,0.0,490.95,0.245,10.0,False
164,B001,2020-06-12,4125.56,171.9,0.0,539.51,0.251,10.0,False
165,B001,2020-06-13,3105.79,129.41,0.0,988.21,0.149,4.0,False
166,B001,2020-06-14,3518.87,146.62,0.0,1151.26,0.089,4.0,False
167,B001,2020-06-15,2100.0,89.74,0.0,264.59,0.305,10.0,False
168,B001,2020-06-16,3106.68,129.44,0.0,406.37,0.337,10.0,False
169,B001,2020-06-17,3242.04,135.08,0.0,432.55,0.278,10.0,False
170,B001,2020-06-18,3907.42,162.81,0.0,450.69,0.339,10.0,False
171,B001,2020-06-19,4504.38,187.68,0.0,587.4,0.368,10.0,False
172,B001,2020-06-20,3716.19,154.84,0.0,1103.95,0.162,4.0,False
173,B001,2020-06-21,2173.45,90.56,0.0,670.6,0.15,4.0,False
174,B001,2020-06-22,4039.38,168.31,0.0,509.33,0.343,10.0,False
175,B001,2020-06-23,3506.15,146.09,0.0,488.43,0.32,10.0,False
176,B001,2020-06-24,2595.06,108.13,0.0,319.55,0.342,10.0,False
177,B001,2020-06-25,3393.79,141.41,0.0,459.8,0.241,10.0,False
178,B001,2020-06-26,4418.12,184.09,0.0,545.31,0.296,10.0,False
179,B001,2020-06-27,4669.92,194.58,0.0,1409.53,0.14,4.0,False
180,B001,2020-06-28,2528.42,105.35,0.0,795.51,0.116,4.0,False
181,B001,2020-06-29,4969.53,207.06,0.0,582.66,0.425,10.0,False
182,B001,2020-06-30,2887.96,120.33,0.0,391.27,0.29,10.0,False
183,B001,2020-07-01,2688.77,112.03,0.0,342.7,0.211,10.0,False
184,B001,2020-07-02,2915.24,121.47,0.0,385.36,0.303,10.0,False
185,B001,2020-07-03,4711.38,196.31,0.0,635.77,0.341,10.0,False
186,B001,2020-07-04,3415.75,142.32,0.0,1069.32,0.076,4.0,False
187,B001,2020-07-05,3343.82,139.33,0.0,1055.54,0.118,4.0,False
188,B001,2020-07-06,4517.02,188.21,0.0,548.09,0.296,10.0,False
189,B001,2020-07-07,3934.72,163.95,0.0,522.76,0.297,10.0,False
190,B001,2020-07-08,3997.65,166.57,0.0,542.91,0.27,10.0,False
191,B001,2020-07-09,3846.97,160.29,0.0,497.62,0.355,10.0,False
192,B001,2020-07-10,3096.25,129.01,0.0,359.06,0.408,10.0,False
193,B001,2020-07-11,4542.89,189.29,0.0,1508.13,0.078,4.0,False
194,B001,2020-07-12,4603.12,191.8,0.0,1515.25,0.055,4.0,False
195,B001,2020-07-13,5594.11,233.09,0.0,691.23,0.278,10.0,False
196,B001,2020-07-14,3821.81,159.24,0.0,478.61,0.37,10.0,False
197,B001,2020-07-15,3226.99,134.46,0.0,411.05,0.287,10.0,False
198,B001,2020-07-16,3959.35,164.97,0.0,533.6,0.318,10.0,False
199,B001,2020-07-17,5367.23,223.63,0.0,708.56,0.254,10.0,False
200,B001,2020-07-18,3953.25,164.72,0.0,1264.32,0.209,4.0,False
201,B001,2020-07-19,3138.36,130.76,0.0,1060.28,0.105,4.0,False
202,B001,2020-07-20,4173.83,173.91,0.0,569.64,0.312,10.0,False
203,B001,2020-07-21,3334.51,138.94,0.0,387.79,0.26,10.0,False
204,B001,2020-07-22,2722.14,113.42,0.0,317.8,0.255,10.0,False
205,B001,2020-07-23,4105.24,171.05,0.0,520.92,0.3,10.0,False
206,B001,2020-07-24,3891.11,162.13,0.0,523.51,0.305,10.0,False
207,B001,2020-07-25,3871.93,161.33,0.0,1139.74,0.163,4.0,False
208,B001,2020-07-26,1688.86,75.78,0.0,576.68,0.036,4.0,False
209,B001,2020-07-27,3169.33,132.06,0.0,375.35,0.252,10.0,False
210,B001,2020-07-28,3891.8,162.16,0.0,515.22,0.266,10.0,False
211,B001,2020-07-29,2638.64,109.94,0.0,356.44,0.306,10.0,False
212,B001,2020-07-30,2405.84,100.24,0.0,279.41,0.244,10.0,False
213,B001,2020-07-31,4207.73,175.32,0.0,573.17,0.295,10.0,False
214,B001,2020-08-01,4218.44,175.77,0.0,1434.66,0.088,4.0,False
215,B001,2020-08-02,2702.39,112.6,0.0,801.59,0.113,4.0,False
216,B001,2020-08-03,3478.08,144.92,0.0,418.16,0.261,10.0,False
217,B001,2020-08-04,3806.17,158.59,0.0,519.57,0.249,10.0,False
218,B001,2020-08-05,2484.83,103.53,0.0,345.74,0.314,10.0,False
219,B001,2020-08-06,4677.63,194.9,0.0,594.56,0.356,10.0,False
220,B001,2020-08-07,3731.25,155.47,0.0,440.81,0.341,10.0,False
221,B001,2020-08-08,3039.66,153.69,0.0,1124.89,0.176,4.0,False
222,B001,2020-08-09,3728.68,155.36,0.0,1150.83,0.182,4.0,False
223,B001,2020-08-10,2359.86,98.33,0.0,308.62,0.292,10.0,False
224,B001,2020-08-11,4740.88,197.54,0.0,630.74,0.394,10.0,False
225,B001,2020-08-12,4476.64,186.53,0.0,582.72,0.338,10.0,False
226,B001,2020-08-13,3450.92,143.79,0.0,473.67,0.253,10.0,False
227,B001,2020-08-14,3981.68,165.9,0.0,458.95,0.267,10.0,False
228,B001,2020-08-15,2782.91,115.95,0.0,867.91,0.128,4.0,False
229,B001,2020-08-16,3932.29,163.85,0.0,1202.25,0.164,4.0,False
230,B001,2020-08-17,2952.41,123.02,0.0,395.01,0.289,10.0,False
231,B001,2020-08-18,3563.4,148.48,0.0,470.45,0.251,10.0,False
232,B001,2020-08-19,3681.23,153.38,0.0,505.33,0.34,10.0,False
233,B001,2020-08-20,3149.52,131.23,0.0,386.86,0.244,10.0,False
234,B001,2020-08-21,4376.53,182.36,0.0,596.91,0.315,10.0,False
235,B001,2020-08-22,4851.92,162.3,0.0,1558.18,0.116,4.0,False
236,B001,2020-08-23,2927.5,121.98,0.0,869.71,0.053,4.0,False
237,B001,2020-08-24,3986.65,166.11,0.0,541.1,0.389,10.0,False
238,B001,2020-08-25,2585.89,107.75,0.0,312.48,0.301,10.0,False
239,B001,2020-08-26,4105.98,171.08,0.0,550.23,0.241,10.0,False
240,B001,2020-08-27,2814.51,117.27,0.0,361.45,0.302,10.0,False
241,B001,2020-08-28,5309.43,221.23,0.0,678.93,0.213,10.0,False
242,B001,2020-08-29,1857.95,81.38,0.0,596.28,0.138,4.0,False
243,B001,2020-08-30,4606.57,191.94,0.0,1605.24,0.163,4.0,False
244,B001,2020-08-31,4087.11,189.81,0.0,529.76,0.435,10.0,False
245,B001,2020-09-01,2086.48,86.94,0.0,242.25,0.305,10.0,False
246,B001,2020-09-02,4927.71,205.32,0.0,684.45,0.267,10.0,False
247,B001,2020-09-03,2047.47,85.31,0.0,249.88,0.31,10.0,False
248,B001,2020-09-04,2741.24,114.22,0.0,347.46,0.305,10.0,False
249,B001,2020-09-05,1882.12,81.43,0.0,637.94,0.145,4.0,False
250,B001,2020-09-06,2465.62,102.73,0.0,721.9,0.162,4.0,False
251,B001,2020-09-07,2764.25,115.18,0.0,333.96,0.338,10.0,False
252,B001,2020-09-08,3834.75,159.78,0.0,525.06,0.325,10.0,False
253,B001,2020-09-09,4756.66,198.19,0.0,560.95,0.23,10.0,False
254,B001,2020-09-10,2277.24,94.88,0.0,291.3,0.227,10.0,False
255,B001,2020-09-11,2615.72,169.46,0.0,312.96,0.221,10.0,False
256,B001,2020-09-12,2647.13,110.3,0.0,819.62,0.06,4.0,False
257,B001,2020-09-13,1795.59,74.82,0.0,604.94,0.066,4.0,False
258,B001,2020-09-14,4427.97,184.5,0.0,615.38,0.299,10.0,False
259,B001,2020-09-15,2741.75,114.24,0.0,354.64,0.265,10.0,False
260,B001,2020-09-16,2058.58,90.17,0.0,255.36,0.305,10.0,False
261,B001,2020-09-17,2323.7,110.5,0.0,271.88,0.288,10.0,False
262,B001,2020-09-18,3307.83,137.83,0.0,413.6,0.31,10.0,False
263,B001,2020-09-19,1995.64,83.15,0.0,675.26,0.124,4.0,False
264,B001,2020-09-20,2972.56,123.86,0.0,995.19,0.057,4.0,False
265,B001,2020-09-21,2188.73,91.2,0.0,271.2,0.33,10.0,False
266,B001,2020-09-22,3300.47,137.52,0.0,393.58,0.266,10.0,False
267,B001,2020-09-23,2500.91,141.33,0.0,321.6,0.264,10.0,False
268,B001,2020-09-24,2886.2,178.19,0.0,391.95,0.285,10.0,False
269,B001,2020-09-25,2896.27,120.68,0.0,373.79,0.34,10.0,False
270,B001,2020-09-26,1961.84,93.82,0.0,630.45,0.089,4.0,False
271,B001,2020-09-27,1867.29,85.79,0.0,619.32,0.125,4.0,False
272,B001,2020-09-28,2503.79,140.12,0.0,296.04,0.32,10.0,False
273,B001,2020-09-29,2442.38,140.7,0.0,318.65,0.313,10.0,False
274,B001,2020-09-30,2275.14,94.8,0.0,266.08,0.31,10.0,False
275,B001,2020-10-01,3407.605,95.81,0.0,246.72,0.23,10.0,False
276,B001,2020-10-02,2845.18,170.16,0.0,330.86,0.306,10.0,False
277,B001,2020-10-03,1709.71,71.24,0.0,557.18,0.074,4.0,False
278,B001,2020-10-04,2062.41,85.93,0.0,717.23,0.032,4.0,False
279,B001,2020-10-05,2259.58,189.81,0.0,268.23,0.277,10.0,False
280,B001,2020-10-06,2173.83,90.58,0.0,275.56,0.274,10.0,False
281,B001,2020-10-07,3337.19,210.65,0.0,458.36,0.448,10.0,False
282,B001,2020-10-08,2306.75,102.89,0.0,314.3,0.349,10.0,False
283,B001,2020-10-09,2527.69,127.7,0.0,317.43,0.339,10.0,False
284,B001,2020-10-10,2471.3,155.99,0.0,825.52,0.1,4.0,False
285,B001,2020-10-11,2452.24,102.18,0.0,711.65,0.111,4.0,False
286,B001,2020-10-12,2778.61,144.9,0.0,372.09,0.429,10.0,False
287,B001,2020-10-13,3055.24,192.85,0.0,406.77,0.268,10.0,False
288,B001,2020-10-14,2836.71,160.3,0.0,367.56,0.313,10.0,False
289,B001,2020-10-15,3313.94,226.72,0.0,390.57,0.392,10.0,False
290,B001,2020-10-16,3138.72,228.85,0.0,384.2,0.264,10.0,False
291,B001,2020-10-17,2673.68,173.22,0.0,797.38,0.127,4.0,False
292,B001,2020-10-18,2666.76,172.77,0.0,776.52,0.119,4.0,False
293,B001,2020-10-19,2968.11,210.55,0.0,408.05,0.256,10.0,False
294,B001,2020-10-20,2183.8,101.5,0.0,261.05,0.339,10.0,False
295,B001,2020-10-21,3630.58,262.66,0.0,436.27,0.244,10.0,False
296,B001,2020-10-22,3295.47,247.73,0.0,436.71,0.339,10.0,False
297,B001,2020-10-23,3679.05,292.28,0.0,452.71,0.321,10.0,False
298,B001,2020-10-24,3113.06,253.55,0.0,973.79,0.165,4.0,False
299,B001,2020-10-25,2114.8,112.58,0.0,615.48,0.11,4.0,False
300,B001,2020-10-26,2728.51,173.74,0.0,376.99,0.319,10.0,False
301,B001,2020-10-27,2614.54,154.92,0.0,365.8,0.351,10.0,False
302,B001,2020-10-28,2516.97,140.86,0.0,312.63,0.23,10.0,False
303,B001,2020-10-29,3203.88,236.31,0.0,385.72,0.24,10.0,False
304,B001,2020-10-30,2704.14,141.02,0.0,358.69,0.329,10.0,False
305,B001,2020-10-31,3131.92,247.92,0.0,1048.75,0.161,4.0,False
306,B001,2020-11-01,3302.59,284.21,0.0,981.2,0.127,4.0,False
307,B001,2020-11-02,3108.45,211.79,0.0,395.31,0.346,10.0,False
308,B001,2020-11-03,2954.5,212.92,0.0,354.21,0.282,10.0,False
309,B001,2020-11-04,3459.09,252.21,0.0,418.01,0.363,10.0,False
310,B001,2020-11-05,2773.09,173.5,0.0,353.14,0.296,10.0,False
311,B001,2020-11-06,2922.63,218.88,0.0,365.3,0.261,10.0,False
312,B001,2020-11-07,3186.74,233.25,0.0,1010.8,0.191,4.0,False
313,B001,2020-11-08,2406.95,146.6,0.0,749.81,0.161,4.0,False
314,B001,2020-11-09,3319.01,250.45,0.0,387.75,0.277,10.0,False
315,B001,2020-11-10,3242.34,237.32,0.0,379.05,0.278,10.0,False
316,B001,2020-11-11,4278.98,423.34,0.0,520.11,0.33,10.0,False
317,B001,2020-11-12,2191.14,91.3,0.0,280.63,0.25,10.0,False
318,B001,2020-11-13,4693.02,483.83,0.0,564.68,0.316,10.0,False
319,B001,2020-11-14,3206.56,288.04,0.0,1047.25,0.112,4.0,False
320,B001,2020-11-15,2931.35,266.74,0.0,982.32,0.131,4.0,False
321,B001,2020-11-16,2572.56,148.9,0.0,353.23,0.199,10.0,False
322,B001,2020-11-17,4009.77,373.08,0.0,555.72,0.255,10.0,False
323,B001,2020-11-18,3260.27,261.8,0.0,404.66,0.313,10.0,False
324,B001,2020-11-19,4117.27,387.91,0.0,570.55,0.353,10.0,False
325,B001,2020-11-20,4479.16,453.78,0.0,613.12,0.293,10.0,False
326,B001,2020-11-21,3441.67,278.34,0.0,1057.38,0.156,4.0,False
327,B001,2020-11-22,3570.34,352.17,0.0,1109.03,0.046,4.0,False
328,B001,2020-11-23,3861.27,336.76,0.0,460.25,0.278,10.0,False
329,B001,2020-11-24,3743.59,308.13,0.0,511.85,0.314,10.0,False
330,B001,2020-11-25,2940.59,196.24,0.0,377.09,0.297,10.0,False
331,B001,2020-11-26,4287.34,466.44,0.0,515.11,0.338,10.0,False
332,B001,2020-11-27,3905.51,370.26,0.0,528.16,0.287,10.0,False
333,B001,2020-11-28,3731.62,353.77,0.0,1271.17,0.108,4.0,False
334,B001,2020-11-29,3836.25,361.44,0.0,1256.29,0.153,4.0,False
335,B001,2020-11-30,2759.78,170.38,0.0,344.59,0.273,10.0,False
336,B001,2020-12-01,3901.35,381.36,0.0,470.12,0.255,10.0,False
337,B001,2020-12-02,5789.49,756.24,0.0,776.71,0.323,10.0,False
338,B001,2020-12-03,4062.34,404.31,0.0,545.42,0.252,10.0,False
339,B001,2020-12-04,4502.84,445.48,0.0,575.33,0.371,10.0,False
340,B001,2020-12-05,3218.4,326.05,0.0,1074.69,0.028,4.0,False
341,B001,2020-12-06,3871.57,418.87,0.0,1161.42,0.105,4.0,False
342,B001,2020-12-07,5330.66,625.29,0.0,683.6,0.381,10.0,False
343,B001,2020-12-08,3093.18,222.04,0.0,380.86,0.399,10.0,False
344,B001,2020-12-09,4030.94,388.08,0.0,563.49,0.295,10.0,False
345,B001,2020-12-10,4570.82,473.96,0.0,574.13,0.355,10.0,False
346,B001,2020-12-11,3606.66,266.02,0.0,433.31,0.339,10.0,False
347,B001,2020-12-12,4254.3,484.75,0.0,1275.26,0.095,4.0,False
348,B001,2020-12-13,3954.37,374.89,0.0,1382.95,0.143,4.0,False
349,B001,2020-12-14,4945.92,595.35,0.0,692.33,0.257,10.0,False
350,B001,2020-12-15,3957.89,370.57,0.0,534.28,0.222,10.0,False
351,B001,2020-12-16,4627.21,554.14,0.0,587.72,0.325,10.0,False
352,B001,2020-12-17,3951.91,388.64,0.0,520.25,0.328,10.0,False
353,B001,2020-12-18,3651.53,290.09,0.0,484.0,0.241,10.0,False
