date,building_id,electricity_price,gas_price,demand_charge
2020-09-01,B003,0.129,0.0451,15.35
2020-10-01,B003,0.1304,0.0463,12.97
2020-11-01,B003,0.1362,0.0466,17.64
2020-12-01,B003,0.1331,0.0466,12.09
2021-01-01,B003,0.1347,0.048,16.51
2021-02-01,B003,0.1365,0.0469,12.78
2021-03-01,B003,0.1337,0.0442,13.67
2021-04-01,B003,0.1339,0.0484,10.7
2021-05-01,B003,0.1356,0.0482,9.51
2021-06-01,B003,0.1319,0.0481,9.05
2021-07-01,B003,0.1365,0.0468,15.98
2021-08-01,B003,0.1355,0.0451,13.73
2021-09-01,B003,0.1371,0.0484,13.48
2021-10-01,B003,0.1373,0.0478,10.07
2021-11-01,B003,0.1354,0.0475,16.78
2021-12-01,B003,0.1401,0.0459,16.99
2022-01-01,B003,0.1392,0.0459,17.03
2022-02-01,B003,0.1356,0.0474,17.47
2022-03-01,B003,0.1352,0.046,16.95
2022-04-01,B003,0.1369,0.0486,13.84
2022-05-01,B003,0.1373,0.0482,10.04
2022-06-01,B003,0.1379,0.0463,14.57
2022-07-01,B003,0.141,0.0488,11.89
2022-08-01,B003,0.1384,0.0485,14.87
2022-09-01,B003,0.1357,0.0458,12.38
2022-10-01,B003,0.1375,0.0472,16.17
2022-11-01,B003,0.136,0.0482,14.87
2022-12-01,B003,0.1426,0.0472,15.44
2023-01-01,B003,0.1436,0.0474,14.11
2023-02-01,B003,0.1437,0.0495,13.39
2023-03-01,B003,0.1396,0.0505,10.27
2023-04-01,B003,0.1403,0.0488,15.91
2023-05-01,B003,0.1399,0.0493,10.04
2023-06-01,B003,0.1389,0.0512,11.19
2023-07-01,B003,0.1421,0.0495,12.36
2023-08-01,B003,0.1455,0.0484,15.53
2023-09-01,B003,0.1378,0.0505,13.87
2023-10-01,B003,0.1423,0.0511,13.03
2023-11-01,B003,0.1404,0.0469,13.72
2023-12-01,B003,0.1433,0.0491,17.76
2024-01-01,B003,0.1441,0.0493,12.19
2024-02-01,B003,0.1409,0.0518,15.04
2024-03-01,B003,0.1412,0.0497,15.36
2024-04-01,B003,0.1445,0.0476,15.68
2024-05-01,B003,0.1476,0.0507,14.4
2024-06-01,B003,0.1458,0.0521,16.37
2024-07-01,B003,0.1488,0.0517,16.5
2024-08-01,B003,0.1475,0.0503,9.77
2024-09-01,B003,0.1461,0.0501,17.65
2024-10-01,B003,0.1448,0.0502,9.57
2024-11-01,B003,0.1418,0.0479,10.33
2024-12-01,B003,0.1448,0.0517,17.49
2020-01-01,B004,0.1477,0.0435,15.21
2020-02-01,B004,0.154,0.0453,14.06
2020-03-01,B004,0.1468,0.0457,14.7
2020-04-01,B004,0.1481,0.0466,10.1
2020-05-01,B004,0.1487,0.0433,14.6
2020-06-01,B004,0.1518,0.0467,11.53
2020-07-01,B004,0.152,0.0457,10.99
2020-08-01,B004,0.1525,0.047,15.91
2020-09-01,B004,0.1503,0.0455,10.09
2020-10-01,B004,0.1543,0.048,13.52
2020-11-01,B004,0.1486,0.0464,14.93
2020-12-01,B004,0.1548,0.0454,9.06
2021-01-01,B004,0.1546,0.0443,16.51
2021-02-01,B004,0.1574,0.0484,15.43
2021-03-01,B004,0.1586,0.0484,17.73
2021-04-01,B004,0.1585,0.0458,9.25
2021-05-01,B004,0.1584,0.0463,13.49
2021-06-01,B004,0.1569,0.0458,12.41
2021-07-01,B004,0.1528,0.046,15.34
2021-08-01,B004,0.1514,0.0486,14.33
2021-09-01,B004,0.1557,0.0452,11.22
2021-10-01,B004,0.1571,0.0447,12.21
2021-11-01,B004,0.1539,0.0463,14.46
2021-12-01,B004,0.1598,0.0468,12.65
2022-01-01,B004,0.1595,0.0479,13.19
2022-02-01,B004,0.1566,0.0494,11.64
2022-03-01,B004,0.1608,0.0468,9.8
2022-04-01,B004,0.1617,0.0499,14.37
2022-05-01,B004,0.1616,0.0487,9.88
2022-06-01,B004,0.1562,0.05,13.64
2022-07-01,B004,0.1631,0.0493,17.65
2022-08-01,B004,0.1557,0.0485,13.78
2022-09-01,B004,0.1582,0.0497,11.14
2022-10-01,B004,0.1562,0.0468,12.18
2022-11-01,B004,0.1573,0.0464,11.27
2022-12-01,B004,0.1629,0.048,17.95
2023-01-01,B004,0.1594,0.0461,17.85
2023-02-01,B004,0.1639,0.0492,9.6
2023-03-01,B004,0.1591,0.0481,12.81
2023-04-01,B004,0.1654,0.0493,16.46
2023-05-01,B004,0.1656,0.0499,11.64
2023-06-01,B004,0.1615,0.0475,11.96
2023-07-01,B004,0.167,0.0471,11.3
2023-08-01,B004,0.1648,0.0498,17.48
2023-09-01,B004,0.16,0.0472,16.6
2023-10-01,B004,0.1658,0.0509,9.29
2023-11-01,B004,0.1651,0.0517,13.3
2023-12-01,B004,0.1639,0.0499,9.86
2024-01-01,B004,0.1623,0.0474,17.18
2024-02-01,B004,0.1673,0.0493,16.56
2024-03-01,B004,0.161,0.0483,15.14
2024-04-01,B004,0.1626,0.0512,14.51
2024-05-01,B004,0.1618,0.0521,11.87
2024-06-01,B004,0.1694,0.0476,10.49
2024-07-01,B004,0.163,0.0496,16.75
2024-08-01,B004,0.1706,0.0523,11.35
2024-09-01,B004,0.1695,0.0478,16.54
2024-10-01,B004,0.1649,0.0495,12.66
2024-11-01,B004,0.1699,0.0505,10.49
2024-12-01,B004,0.1732,0.0495,16.86
2020-01-01,B005,0.1106,0.0467,16.4
2020-02-01,B005,0.113,0.046,10.15
2020-03-01,B005,0.1117,0.0459,14.09
2020-04-01,B005,0.1111,0.047,13.95
2020-05-01,B005,0.1097,0.0436,12.67
2020-06-01,B005,0.1111,0.047,12.12
2020-07-01,B005,0.111,0.0476,16.35
2020-08-01,B005,0.1144,0.0447,11.26
2020-09-01,B005,0.1112,0.048,16.05
2020-10-01,B005,0.1129,0.0443,10.89
2020-11-01,B005,0.1123,0.0464,12.44
2020-12-01,B005,0.1155,0.0441,17.56
2021-01-01,B005,0.1116,0.044,14.68
2021-02-01,B005,0.1162,0.0445,12.59
2021-03-01,B005,0.1143,0.0482,10.07
2021-04-01,B005,0.1123,0.048,15.44
2021-05-01,B005,0.1107,0.0485,17.67
2021-06-01,B005,0.1137,0.0462,9.35
2021-07-01,B005,0.116,0.0474,17.7
2021-08-01,B005,0.1176,0.0452,14.67
2021-09-01,B005,0.1163,0.0453,15.74
2021-10-01,B005,0.1144,0.0474,9.59
2021-11-01,B005,0.116,0.0472,15.3
2021-12-01,B005,0.1142,0.0466,9.17
2022-01-01,B005,0.1139,0.0476,12.6
2022-02-01,B005,0.1161,0.045,11.77
2022-03-01,B005,0.1137,0.0467,17.02
2022-04-01,B005,0.1157,0.0478,12.07
2022-05-01,B005,0.1192,0.0497,13.35
2022-06-01,B005,0.1184,0.0459,17.73
2022-07-01,B005,0.1152,0.0458,9.94
2022-08-01,B005,0.1157,0.0492,11.07
2022-09-01,B005,0.1157,0.0488,13.53
2022-10-01,B005,0.1154,0.0498,9.21
2022-11-01,B005,0.116,0.0502,10.21
2022-12-01,B005,0.1154,0.0491,17.21
2023-01-01,B005,0.117,0.0482,12.03
2023-02-01,B005,0.1198,0.0479,17.89
2023-03-01,B005,0.1213,0.0495,15.36
2023-04-01,B005,0.1164,0.0489,11.4
2023-05-01,B005,0.1164,0.0488,11.53
2023-06-01,B005,0.122,0.0472,10.93
2023-07-01,B005,0.1217,0.049,11.79
2023-08-01,B005,0.122,0.0487,11.37
2023-09-01,B005,0.1205,0.0493,15.59
2023-10-01,B005,0.1213,0.0513,12.72
2023-11-01,B005,0.1222,0.0499,13.56
2023-12-01,B005,0.1174,0.0481,15.42
2024-01-01,B005,0.1218,0.048,13.34
2024-02-01,B005,0.1224,0.0509,13.06
2024-03-01,B005,0.121,0.0511,17.37
2024-04-01,B005,0.1244,0.0508,9.91
2024-05-01,B005,0.1253,0.0489,9.19
2024-06-01,B005,0.1196,0.0521,9.68
2024-07-01,B005,0.1257,0.0479,15.3
2024-08-01,B005,0.1191,0.0519,10.82
2024-09-01,B005,0.1235,0.0505,15.02
2024-10-01,B005,0.1248,0.0486,17.38
2024-11-01,B005,0.1258,0.0502,14.98
2024-12-01,B005,0.1216,0.051,15.3
2020-01-01,B006,0.1504,0.0457,15.84
2020-02-01,B006,0.1544,0.0472,11.17
2020-03-01,B006,0.1486,0.0455,14.56
2020-04-01,B006,0.149,0.0472,9.74
2020-05-01,B006,0.1521,0.0468,12.03
2020-06-01,B006,0.152,0.0433,10.3
2020-07-01,B006,0.1556,0.0444,17.62
2020-08-01,B006,0.1542,0.0472,16.71
2020-09-01,B006,0.1485,0.0467,14.89
2020-10-01,B006,0.1518,0.0438,13.81
2020-11-01,B006,0.1528,0.0473,16.49
2020-12-01,B006,0.149,0.0459,11.21
2021-01-01,B006,0.151,0.0458,17.23
2021-02-01,B006,0.1558,0.0481,12.65
2021-03-01,B006,0.1536,0.0467,17.77
2021-04-01,B006,0.1544,0.0482,11.89
2021-05-01,B006,0.1527,0.0474,17.75
2021-06-01,B006,0.1517,0.0458,16.07
2021-07-01,B006,0.1555,0.046,16.96
2021-08-01,B006,0.1561,0.0453,16.77
2021-09-01,B006,0.1573,0.0471,12.86
2021-10-01,B006,0.1585,0.0448,16.23
2021-11-01,B006,0.1603,0.0449,15.37
2021-12-01,B006,0.1609,0.0486,16.63
2022-01-01,B006,0.1543,0.0494,12.17
2022-02-01,B006,0.1585,0.0472,17.09
2022-03-01,B006,0.1546,0.0468,13.63
2022-04-01,B006,0.1594,0.0453,9.22
2022-05-01,B006,0.1544,0.0481,17.43
2022-06-01,B006,0.1554,0.0493,15.25
2022-07-01,B006,0.1626,0.0484,9.21
2022-08-01,B006,0.1613,0.047,11.84
2022-09-01,B006,0.1576,0.05,17.99
2022-10-01,B006,0.1635,0.0499,17.46
2022-11-01,B006,0.1576,0.0474,16.59
2022-12-01,B006,0.1628,0.0476,14.52
2023-01-01,B006,0.1661,0.0492,13.01
2023-02-01,B006,0.1626,0.0496,12.0
2023-03-01,B006,0.1592,0.0494,17.93
2023-04-01,B006,0.1638,0.0505,12.02
2023-05-01,B006,0.164,0.0491,17.31
2023-06-01,B006,0.1658,0.0474,9.96
2023-07-01,B006,0.1591,0.0511,12.82
2023-08-01,B006,0.1649,0.0512,15.68
2023-09-01,B006,0.1676,0.0476,10.07
2023-10-01,B006,0.1616,0.049,11.0
2023-11-01,B006,0.1613,0.0492,9.92
2023-12-01,B006,0.166,0.0513,14.29
2024-01-01,B006,0.1623,0.0492,12.92
2024-02-01,B006,0.1605,0.0501,9.0
2024-03-01,B006,0.164,0.0503,16.13
2024-04-01,B006,0.1637,0.0494,10.66
2024-05-01,B006,0.1659,0.0499,14.17
2024-06-01,B006,0.1656,0.0504,17.53
2024-07-01,B006,0.1652,0.048,10.04
2024-08-01,B006,0.1669,0.0524,17.26
2024-09-01,B006,0.1719,0.0521,12.2
2024-10-01,B006,0.1669,0.0496,16.97
2024-11-01,B006,0.1718,0.0511,12.48
2024-12-01,B006,0.1685,0.0491,17.47
2020-01-01,B007,0.1084,0.0463,16.55
2020-02-01,B007,0.1073,0.0446,13.06
2020-03-01,B007,0.1113,0.046,17.83
2020-04-01,B007,0.1095,0.0455,15.43
2020-05-01,B007,0.1081,0.0435,9.21
2020-06-01,B007,0.1083,0.0443,16.13
2020-07-01,B007,0.1115,0.0462,17.17
2020-08-01,B007,0.1122,0.0438,17.97
2020-09-01,B007,0.1129,0.0474,16.69
2020-10-01,B007,0.1107,0.0478,14.58
2020-11-01,B007,0.1101,0.047,9.58
2020-12-01,B007,0.1103,0.0467,13.64
2021-01-01,B007,0.1106,0.0446,17.82
2021-02-01,B007,0.1121,0.046,15.11
2021-03-01,B007,0.1103,0.0469,13.73
2021-04-01,B007,0.1103,0.0466,14.41
2021-05-01,B007,0.1152,0.0473,15.89
2021-06-01,B007,0.1106,0.0444,15.04
2021-07-01,B007,0.1141,0.0464,12.42
2021-08-01,B007,0.1156,0.0448,9.95
2021-09-01,B007,0.1151,0.0467,15.68
2021-10-01,B007,0.1129,0.0458,9.85
2021-11-01,B007,0.1178,0.0472,9.39
2021-12-01,B007,0.1151,0.0492,14.8
2022-01-01,B007,0.117,0.0462,16.46
2022-02-01,B007,0.114,0.0458,11.63
2022-03-01,B007,0.1175,0.047,13.6
2022-04-01,B007,0.1183,0.047,12.96
2022-05-01,B007,0.1136,0.0467,13.23
2022-06-01,B007,0.1181,0.0494,11.57
2022-07-01,B007,0.119,0.048,9.82
2022-08-01,B007,0.1154,0.0488,17.56
2022-09-01,B007,0.1147,0.0466,16.04
2022-10-01,B007,0.1197,0.0479,9.83
2022-11-01,B007,0.12,0.05,15.14
2022-12-01,B007,0.1166,0.0494,12.77
2023-01-01,B007,0.1149,0.0479,16.14
2023-02-01,B007,0.1194,0.0472,16.56
2023-03-01,B007,0.1209,0.0506,11.04
2023-04-01,B007,0.1173,0.0483,14.11
2023-05-01,B007,0.1224,0.047,11.11
2023-06-01,B007,0.1217,0.0471,13.74
2023-07-01,B007,0.1195,0.0506,13.72
2023-08-01,B007,0.1223,0.0481,13.19
2023-09-01,B007,0.1225,0.0483,17.13
2023-10-01,B007,0.1203,0.0492,12.74
2023-11-01,B007,0.1227,0.0507,15.98
2023-12-01,B007,0.1243,0.0511,13.12
2024-01-01,B007,0.1232,0.0509,10.35
2024-02-01,B007,0.1214,0.0515,9.11
2024-03-01,B007,0.1217,0.051,13.87
2024-04-01,B007,0.1216,0.0495,9.31
2024-05-01,B007,0.1198,0.0516,10.38
2024-06-01,B007,0.1247,0.0483,11.55
2024-07-01,B007,0.1242,0.0495,11.03
2024-08-01,B007,0.1241,0.0521,12.51
2024-09-01,B007,0.121,0.0501,11.85
2024-10-01,B007,0.1195,0.0499,11.91
2024-11-01,B007,0.1222,0.0482,13.58
2024-12-01,B007,0.1231,0.0484,15.86
2020-01-01,B008,0.2076,0.0472,16.36
2020-02-01,B008,0.2156,0.0435,14.12
2020-03-01,B008,0.2056,0.0454,14.84
2020-04-01,B008,0.2112,0.0434,10.53
2020-05-01,B008,0.2114,0.0462,15.2
2020-06-01,B008,0.2147,0.0454,17.14
2020-07-01,B008,0.2099,0.0456,11.87
2020-08-01,B008,0.2142,0.046,17.67
2020-09-01,B008,0.2166,0.0441,14.32
2020-10-01,B008,0.2151,0.0472,15.29
2020-11-01,B008,0.2127,0.0438,15.58
2020-12-01,B008,0.2147,0.0454,11.14
2021-01-01,B008,0.2144,0.0475,9.67
2021-02-01,B008,0.2153,0.0444,12.29
2021-03-01,B008,0.2182,0.0441,10.26
2021-04-01,B008,0.2177,0.047,16.92
2021-05-01,B008,0.215,0.0476,15.07
2021-06-01,B008,0.2205,0.0456,14.03
2021-07-01,B008,0.2167,0.0457,11.08
2021-08-01,B008,0.2142,0.0457,13.49
2021-09-01,B008,0.2155,0.0459,17.31
2021-10-01,B008,0.2202,0.0455,11.62
2021-11-01,B008,0.2151,0.0469,10.87
2021-12-01,B008,0.2191,0.0482,13.99
2022-01-01,B008,0.2238,0.0455,10.88
2022-02-01,B008,0.2273,0.0479,17.97
2022-03-01,B008,0.2171,0.0464,15.13
2022-04-01,B008,0.2157,0.0462,11.27
2022-05-01,B008,0.2283,0.0487,16.17
2022-06-01,B008,0.2227,0.0477,12.4
2022-07-01,B008,0.2177,0.0482,11.58
2022-08-01,B008,0.221,0.046,13.7
2022-09-01,B008,0.2296,0.0469,16.67
2022-10-01,B008,0.2209,0.0474,10.85
2022-11-01,B008,0.2209,0.0474,11.53
2022-12-01,B008,0.2311,0.0482,11.71
2023-01-01,B008,0.2306,0.0462,13.16
2023-02-01,B008,0.224,0.0474,11.5
2023-03-01,B008,0.2299,0.0471,14.27
2023-04-01,B008,0.2276,0.05,17.13
2023-05-01,B008,0.2293,0.0478,11.11
2023-06-01,B008,0.2288,0.0508,14.75
2023-07-01,B008,0.2242,0.0487,14.56
2023-08-01,B008,0.2296,0.0471,14.57
2023-09-01,B008,0.2317,0.047,12.46
2023-10-01,B008,0.2312,0.0487,11.5
2023-11-01,B008,0.2319,0.0492,11.06
2023-12-01,B008,0.2254,0.0475,13.93
2024-01-01,B008,0.2357,0.0506,13.72
2024-02-01,B008,0.2246,0.0501,13.21
2024-03-01,B008,0.2339,0.0515,15.45
2024-04-01,B008,0.2285,0.0501,16.15
2024-05-01,B008,0.2373,0.0487,13.13
2024-06-01,B008,0.2313,0.0514,17.84
2024-07-01,B008,0.2324,0.0503,11.93
2024-08-01,B008,0.2272,0.051,17.27
2024-09-01,B008,0.2338,0.0496,11.18
2024-10-01,B008,0.2365,0.0495,12.16
2024-11-01,B008,0.2324,0.051,17.25
2024-12-01,B008,0.2362,0.052,12.49
2020-01-01,B009,0.1106,0.0443,9.14
2020-02-01,B009,0.1072,0.0443,11.14
2020-03-01,B009,0.1087,0.0465,10.2
2020-04-01,B009,0.1107,0.0431,11.26
2020-05-01,B009,0.1103,0.0433,14.27
2020-06-01,B009,0.1114,0.0439,14.13
2020-07-01,B009,0.1084,0.0448,11.85
2020-08-01,B009,0.1125,0.0445,15.88
2020-09-01,B009,0.1133,0.0472,11.13
2020-10-01,B009,0.1144,0.0468,14.11
2020-11-01,B009,0.1135,0.0458,15.0
2020-12-01,B009,0.1105,0.044,12.82
2021-01-01,B009,0.1131,0.0449,15.76
2021-02-01,B009,0.1107,0.048,16.86
2021-03-01,B009,0.114,0.0465,13.7
2021-04-01,B009,0.114,0.0462,17.63
2021-05-01,B009,0.1139,0.0483,16.44
2021-06-01,B009,0.1169,0.0489,10.61
2021-07-01,B009,0.1143,0.0471,14.39
2021-08-01,B009,0.1117,0.0465,10.48
2021-09-01,B009,0.1165,0.0476,13.85
2021-10-01,B009,0.1131,0.0448,17.93
2021-11-01,B009,0.1153,0.0453,10.6
2021-12-01,B009,0.1139,0.0466,12.4
2022-01-01,B009,0.1127,0.0481,10.61
2022-02-01,B009,0.1178,0.0456,13.9
2022-03-01,B009,0.1161,0.0458,14.06
2022-04-01,B009,0.1134,0.0485,16.0
2022-05-01,B009,0.1143,0.0461,11.9
2022-06-01,B009,0.1136,0.0493,9.85
2022-07-01,B009,0.1166,0.0474,13.37
2022-08-01,B009,0.1144,0.0491,13.54
2022-09-01,B009,0.1153,0.0495,16.93
2022-10-01,B009,0.1141,0.0477,16.67
2022-11-01,B009,0.1209,0.0471,9.26
2022-12-01,B009,0.1211,0.0486,15.95
2023-01-01,B009,0.1169,0.0501,9.12
2023-02-01,B009,0.117,0.0506,13.85
2023-03-01,B009,0.1156,0.0468,17.0
2023-04-01,B009,0.1167,0.0477,13.24
2023-05-01,B009,0.1196,0.0498,14.13
2023-06-01,B009,0.1205,0.0499,17.48
2023-07-01,B009,0.1221,0.0496,11.81
2023-08-01,B009,0.1171,0.0472,13.28
2023-09-01,B009,0.1211,0.0471,11.65
2023-10-01,B009,0.1227,0.0496,11.9
2023-11-01,B009,0.1176,0.0509,10.73
2023-12-01,B009,0.1212,0.0475,10.98
2024-01-01,B009,0.1188,0.0497,9.58
2024-02-01,B009,0.1196,0.0501,13.74
2024-03-01,B009,0.1181,0.0502,9.08
2024-04-01,B009,0.1194,0.051,10.31
2024-05-01,B009,0.1194,0.0511,16.42
2024-06-01,B009,0.1189,0.0507,14.78
2024-07-01,B009,0.1203,0.0501,15.25
2024-08-01,B009,0.126,0.0495,9.01
2024-09-01,B009,0.1207,0.048,13.46
2024-10-01,B009,0.1255,0.0493,10.11
2024-11-01,B009,0.1245,0.0514,10.36
2024-12-01,B009,0.1247,0.0495,15.76
2020-01-01,B010,0.1472,0.0447,9.4
2020-02-01,B010,0.1496,0.0459,10.28
2020-03-01,B010,0.1537,0.0436,13.12
2020-04-01,B010,0.1543,0.0454,17.73
2020-05-01,B010,0.1558,0.0469,13.34
2020-06-01,B010,0.1555,0.0448,15.87
2020-07-01,B010,0.1508,0.0466,13.32
2020-08-01,B010,0.1493,0.0435,13.03
2020-09-01,B010,0.1569,0.0448,17.84
2020-10-01,B010,0.1515,0.0446,11.35
2020-11-01,B010,0.1569,0.0453,10.08
2020-12-01,B010,0.1573,0.0476,14.17
2021-01-01,B010,0.1549,0.0439,13.82
2021-02-01,B010,0.1541,0.0473,11.68
2021-03-01,B010,0.1538,0.0455,9.08
2021-04-01,B010,0.1586,0.0454,11.84
2021-05-01,B010,0.1556,0.0465,9.23
2021-06-01,B010,0.1529,0.0472,15.76
2021-07-01,B010,0.1557,0.0489,12.49
2021-08-01,B010,0.1556,0.0446,10.34
2021-09-01,B010,0.154,0.0462,13.73
2021-10-01,B010,0.1599,0.0489,12.12
2021-11-01,B010,0.1571,0.0478,17.02
2021-12-01,B010,0.1554,0.0489,13.06
2022-01-01,B010,0.1605,0.0452,15.74
2022-02-01,B010,0.1565,0.0452,13.59
2022-03-01,B010,0.1594,0.049,10.42
2022-04-01,B010,0.1584,0.0499,14.62
2022-05-01,B010,0.1561,0.0466,17.57
2022-06-01,B010,0.1595,0.0479,16.11
2022-07-01,B010,0.1573,0.0488,10.43
2022-08-01,B010,0.1603,0.0456,14.25
2022-09-01,B010,0.1562,0.0472,10.67
2022-10-01,B010,0.1634,0.0481,17.1
2022-11-01,B010,0.163,0.0485,17.2
2022-12-01,B010,0.1593,0.0479,15.18
2023-01-01,B010,0.1659,0.0477,16.57
2023-02-01,B010,0.1591,0.047,9.54
2023-03-01,B010,0.1571,0.0491,16.55
2023-04-01,B010,0.1648,0.0488,12.48
2023-05-01,B010,0.161,0.0477,13.59
2023-06-01,B010,0.1597,0.0503,15.4
2023-07-01,B010,0.1615,0.0513,9.57
2023-08-01,B010,0.1609,0.049,16.37
2023-09-01,B010,0.167,0.0485,16.37
2023-10-01,B010,0.1648,0.049,16.87
