maintenance_id,building_id,maintenance_date,equipment_type,issue_type,downtime_hours,maintenance_cost
88,B043,2023-04-04,Boiler,Emergency,16.3,4413.86
89,B044,2022-12-20,Electrical,Emergency,3.3,6062.75
90,B044,2023-04-17,Lighting,Emergency,16.6,5314.36
91,B045,2020-02-17,HVAC,Emergency,9.5,6837.43
92,B046,2021-05-19,Electrical,Emergency,15.0,3222.55
93,B046,2024-07-26,Lighting,Emergency,14.9,4559.73
94,B046,2023-07-23,Electrical,Emergency,17.2,6323.8
95,B046,2023-02-01,HVAC,Emergency,12.7,3306.05
96,B047,2020-06-12,Boiler,Emergency,7.8,2551.46
97,B047,2022-02-11,Lighting,Emergency,8.0,4608.54
98,B047,2021-04-05,Boiler,Emergency,6.6,7295.43
99,B047,2020-05-15,Lighting,Emergency,3.7,5009.43
100,B048,2021-09-03,Lighting,Emergency,3.2,8740.95
101,B049,2024-12-31,Lighting,Emergency,15.4,1331.73
102,B049,2024-04-07,Electrical,Emergency,4.3,3122.39
103,B049,2022-09-20,HVAC,Emergency,13.5,7857.43
104,B050,2022-09-11,Electrical,Emergency,8.1,2195.37
105,B050,2022-06-24,Electrical,Emergency,17.9,4802.35
106,B050,2020-12-30,HVAC,Emergency,2.2,8205.64
107,B001,2023-02-23,Boiler,Corrective,4.7,1516.04
108,B001,2020-01-21,Boiler,Corrective,5.7,823.87
109,B001,2023-05-30,Lighting,Preventive,3.7,2375.37
110,B001,2024-09-24,Lighting,Preventive,4.5,2184.33
111,B001,2020-09-10,Elevator,Preventive,5.0,756.15
112,B001,2021-10-08,Boiler,Preventive,3.2,2637.32
113,B001,2024-08-08,HVAC,Preventive,5.6,499.35
114,B001,2022-03-11,Lighting,Preventive,4.6,1430.2
115,B001,2023-03-05,Electrical,Preventive,3.5,1129.65
116,B001,2024-05-22,Boiler,Corrective,1.8,1309.86
117,B001,2023-05-22,HVAC,Preventive,5.8,441.0
118,B002,2022-09-12,Lighting,Corrective,3.8,428.24
119,B002,2024-02-17,Electrical,Corrective,1.8,2980.05
120,B002,2021-09-02,Lighting,Corrective,0.8,2729.8
121,B002,2024-10-14,Electrical,Preventive,2.4,190.59
122,B002,2024-09-14,Elevator,Preventive,3.1,2518.53
123,B002,2022-12-07,Boiler,Corrective,1.3,2849.75
124,B002,2021-06-23,Boiler,Preventive,5.4,788.72
125,B002,2024-02-15,Elevator,Corrective,4.5,395.26
126,B002,2024-01-22,Boiler,Preventive,0.8,1143.59
127,B002,2020-12-28,Elevator,Corrective,5.6,672.39
128,B002,2022-09-30,Electrical,Corrective,3.3,2669.8
129,B002,2022-02-16,Electrical,Corrective,6.0,981.35
130,B002,2022-04-19,Boiler,Corrective,4.4,2265.81
131,B003,2023-12-10,Lighting,Preventive,5.3,1721.83
132,B003,2020-11-24,HVAC,Preventive,1.8,1945.03
133,B003,2023-09-22,Elevator,Corrective,3.2,1642.41
134,B003,2022-04-09,HVAC,Corrective,2.2,2292.71
135,B003,2023-07-09,Lighting,Preventive,5.5,250.59
136,B003,2020-08-27,Elevator,Preventive,1.6,2586.15
137,B003,2022-01-11,Lighting,Corrective,4.6,488.51
138,B003,2024-05-01,Lighting,Corrective,2.4,2321.44
139,B003,2022-12-14,Boiler,Preventive,4.7,2476.84
140,B003,2023-12-07,Electrical,Preventive,5.4,419.74
141,B003,2022-12-24,Electrical,Preventive,1.8,1805.29
142,B003,2023-03-29,Electrical,Corrective,5.0,1118.18
143,B003,2022-03-17,Lighting,Corrective,1.2,336.98
144,B003,2021-01-21,Electrical,Corrective,2.7,638.01
145,B004,2024-08-03,Lighting,Preventive,2.2,2394.3
146,B004,2020-07-21,Lighting,Corrective,3.5,405.63
147,B004,2020-10-29,Boiler,Preventive,3.7,1641.83
148,B004,2023-10-01,Boiler,Corrective,0.6,1668.56
149,B004,2024-12-07,HVAC,Preventive,1.9,1686.67
150,B004,2020-08-07,HVAC,Preventive,4.1,1682.99
151,B004,2023-09-02,HVAC,Corrective,3.4,179.62
152,B004,2021-10-03,Elevator,Preventive,3.9,1115.25
153,B004,2022-07-10,Lighting,Corrective,3.1,801.38
154,B004,2024-07-26,HVAC,Corrective,6.0,2802.19
155,B004,2020-11-18,Lighting,Preventive,4.8,2431.46
156,B005,2020-11-09,Boiler,Corrective,2.6,185.87
157,B005,2024-03-21,Lighting,Preventive,5.4,715.03
158,B005,2023-05-18,Electrical,Preventive,2.9,1143.92
159,B005,2022-11-01,Electrical,Preventive,1.1,706.11
160,B005,2022-08-06,HVAC,Preventive,1.3,691.37
161,B005,2021-06-02,HVAC,Preventive,0.6,2919.49
162,B005,2021-11-06,Elevator,Preventive,3.5,1262.39
163,B005,2020-07-06,Elevator,Preventive,3.9,1888.66
164,B005,2020-12-11,Lighting,Preventive,2.0,2667.08
165,B005,2021-03-29,Electrical,Preventive,1.7,2558.62
166,B005,2021-02-16,HVAC,Preventive,5.0,198.56
167,B005,2024-09-01,Boiler,Corrective,4.6,769.24
168,B005,2023-09-16,Electrical,Preventive,2.2,817.23
169,B006,2020-06-24,Electrical,Preventive,2.6,2408.12
170,B006,2020-08-04,Boiler,Corrective,1.7,2661.21
171,B006,2024-12-02,Elevator,Corrective,5.8,2365.16
172,B006,2021-12-30,Boiler,Preventive,4.8,1357.84
173,B006,2022-04-01,Boiler,Corrective,5.1,1221.86
174,B006,2021-12-29,Elevator,Corrective,5.2,235.06
175,B006,2022-12-19,Lighting,Preventive,2.5,2462.59
176,B006,2022-12-15,Lighting,Preventive,3.1,2327.82
177,B006,2023-09-28,Lighting,Preventive,5.3,1488.88
178,B006,2021-08-03,Boiler,Corrective,0.7,1241.01
179,B006,2020-07-05,HVAC,Preventive,2.8,1668.62
180,B006,2023-03-02,Lighting,Preventive,4.3,2987.29
181,B006,2024-11-27,Lighting,Preventive,5.5,2589.79
182,B007,2021-11-05,Electrical,Corrective,4.5,2559.32
183,B007,2022-02-20,Elevator,Corrective,4.3,2039.75
184,B007,2021-06-13,Electrical,Corrective,3.7,967.88
185,B007,2022-12-06,HVAC,Corrective,0.8,2060.65
186,B007,2022-10-19,HVAC,Preventive,2.0,379.39
187,B007,2021-05-22,HVAC,Corrective,2.0,2234.04
188,B007,2020-07-17,Boiler,Preventive,4.0,1120.29
189,B007,2024-03-05,HVAC,Preventive,3.1,1819.86
190,B007,2023-01-03,Electrical,Preventive,2.9,892.28
191,B007,2022-08-19,Lighting,Preventive,2.5,2357.16
192,B008,2021-02-10,Electrical,Preventive,1.2,1833.66
193,B008,2022-04-16,Lighting,Corrective,0.7,184.72
194,B008,2021-10-18,HVAC,Preventive,3.6,1146.37
195,B008,2022-01-28,Elevator,Corrective,5.3,1403.49
196,B008,2024-12-22,HVAC,Preventive,3.7,2346.19
197,B008,2021-12-03,Lighting,Preventive,0.5,625.04
198,B008,2024-07-11,Elevator,Preventive,5.3,777.99
199,B008,2024-09-01,Boiler,Preventive,5.7,649.63
200,B009,2021-01-21,Boiler,Corrective,1.7,1313.08
201,B009,2020-07-13,HVAC,Preventive,4.4,176.49
202,B009,2023-09-11,Elevator,Preventive,3.7,2358.17
203,B009,2021-10-19,Boiler,Preventive,4.7,344.43
204,B009,2020-03-31,HVAC,Corrective,1.6,1667.19
205,B009,2022-09-28,Boiler,Corrective,5.1,1559.08
206,B009,2024-07-10,Electrical,Corrective,4.3,1600.59
207,B009,2020-02-20,HVAC,Preventive,2.2,1829.19
208,B009,2023-05-06,Elevator,Preventive,4.3,1839.62
209,B009,2022-01-13,Boiler,Corrective,5.4,2730.23
210,B010,2023-04-08,Elevator,Corrective,3.6,2733.27
211,B010,2021-04-17,Lighting,Corrective,2.1,371.26
212,B010,2023-11-17,Lighting,Preventive,2.9,300.92
213,B010,2024-02-04,Lighting,Preventive,3.5,2815.61
214,B010,2023-12-15,Elevator,Preventive,4.2,518.54
215,B010,2023-12-23,Electrical,Corrective,2.3,1820.44
216,B010,2020-09-11,Electrical,Preventive,0.6,2481.64
217,B010,2022-02-02,HVAC,Corrective,1.2,1747.49
218,B010,2022-04-09,Lighting,Preventive,3.7,2162.11
219,B010,2024-03-26,Electrical,Preventive,0.6,2791.35
220,B010,2024-12-29,Elevator,Preventive,4.0,2365.82
221,B010,2021-05-05,Lighting,Preventive,5.2,2556.66
222,B010,2023-05-24,HVAC,Preventive,5.8,1739.27
223,B010,2022-09-08,HVAC,Preventive,5.9,1808.91
224,B010,2024-09-03,HVAC,Preventive,5.4,1225.96
225,B011,2020-01-24,Lighting,Preventive,3.8,1884.36
226,B011,2024-07-05,Lighting,Preventive,5.7,668.8
227,B011,2023-12-02,Elevator,Corrective,3.4,929.72
228,B011,2020-10-28,Electrical,Preventive,5.8,906.06
229,B011,2021-05-03,Elevator,Preventive,1.9,2434.31
230,B011,2024-03-15,Lighting,Corrective,5.8,2086.16
231,B011,2020-05-22,Electrical,Preventive,3.9,405.98
232,B011,2020-12-21,Boiler,Preventive,3.4,1845.82
233,B012,2024-10-21,Lighting,Preventive,3.1,756.62
234,B012,2022-08-12,Electrical,Preventive,5.2,2401.27
235,B012,2024-02-07,Boiler,Preventive,4.4,400.7
236,B012,2020-03-30,HVAC,Preventive,5.8,2303.96
237,B012,2023-10-16,Elevator,Preventive,1.0,1353.29
238,B012,2021-03-11,Electrical,Corrective,4.8,2822.47
239,B012,2023-05-31,Electrical,Corrective,0.9,2440.55
240,B012,2022-12-17,HVAC,Corrective,4.1,668.43
241,B012,2024-01-29,HVAC,Preventive,5.1,2174.85
242,B012,2020-03-24,Elevator,Corrective,5.1,1229.63
243,B012,2023-01-21,Boiler,Preventive,3.8,196.69
244,B012,2024-06-02,Lighting,Preventive,5.7,1981.23
245,B012,2023-09-10,HVAC,Corrective,0.7,1517.25
246,B012,2024-05-20,Boiler,Preventive,1.8,2051.0
247,B012,2020-11-21,Lighting,Corrective,3.8,623.31
248,B013,2024-10-31,HVAC,Preventive,5.5,564.86
249,B013,2024-11-20,HVAC,Preventive,4.5,2142.09
250,B013,2023-10-11,Electrical,Corrective,4.7,539.98
251,B013,2021-05-03,Electrical,Preventive,3.9,709.63
252,B013,2020-11-01,Elevator,Corrective,2.1,1005.38
253,B013,2023-03-31,Elevator,Corrective,2.9,1641.06
254,B013,2022-11-22,Elevator,Preventive,5.5,409.42
255,B013,2022-02-04,Elevator,Preventive,0.7,1662.45
256,B013,2020-09-17,Electrical,Corrective,3.7,1102.23
257,B014,2023-07-03,Elevator,Corrective,5.3,2330.71
258,B014,2021-01-05,Elevator,Preventive,1.4,594.4
259,B014,2021-12-10,Electrical,Preventive,3.3,1442.94
260,B014,2023-03-21,Lighting,Preventive,3.9,626.56
261,B014,2020-06-01,Elevator,Preventive,3.5,492.26
262,B014,2023-06-02,Boiler,Preventive,2.1,2335.92
263,B014,2023-12-03,Lighting,Corrective,5.6,1535.69
264,B014,2021-08-19,HVAC,Preventive,2.3,784.88
265,B014,2024-10-11,Lighting,Preventive,2.4,2586.45
266,B014,2021-07-02,HVAC,Corrective,1.3,679.77
267,B014,2021-01-07,Boiler,Corrective,2.0,2626.22
268,B014,2023-10-19,Elevator,Corrective,5.9,2591.41
269,B015,2021-06-10,Elevator,Preventive,3.2,1402.39
270,B015,2020-11-16,Lighting,Corrective,3.7,2802.92
271,B015,2020-08-19,Electrical,Corrective,1.5,1358.11
272,B015,2022-05-12,Boiler,Corrective,5.2,748.89
273,B015,2020-11-01,Lighting,Preventive,2.5,867.99
274,B015,2022-11-30,Lighting,Preventive,4.7,1029.27
275,B015,2020-08-23,Boiler,Preventive,3.7,2366.33
276,B015,2021-10-07,Lighting,Preventive,3.1,939.87
277,B015,2023-04-18,HVAC,Preventive,2.0,321.42
278,B015,2022-08-10,Lighting,Corrective,2.9,2838.39
279,B015,2021-06-12,Elevator,Preventive,2.1,1241.87
280,B015,2022-04-03,Electrical,Preventive,1.2,2590.5
281,B015,2021-11-16,Lighting,Corrective,2.5,1555.09
282,B015,2023-11-27,Lighting,Preventive,5.3,950.39
283,B015,2024-01-16,Boiler,Preventive,0.7,1889.68
284,B016,2022-11-12,Elevator,Preventive,2.9,1365.07
285,B016,2022-01-21,HVAC,Preventive,1.4,715.11
286,B016,2024-10-28,Elevator,Corrective,1.5,393.77
287,B016,2020-04-03,HVAC,Preventive,2.1,2147.7
288,B016,2021-02-21,Boiler,Preventive,5.9,704.13
289,B016,2021-01-19,HVAC,Corrective,1.0,1185.02
290,B016,2021-08-29,HVAC,Preventive,3.7,768.49
291,B016,2020-12-25,Boiler,Corrective,5.3,1586.0
292,B016,2022-01-31,HVAC,Preventive,4.0,1909.37
293,B016,2020-08-30,Lighting,Corrective,4.1,2366.56
294,B016,2024-10-25,Boiler,Corrective,3.5,238.64
295,B016,2023-11-15,Elevator,Corrective,5.5,2314.06
296,B016,2020-01-29,Electrical,Preventive,2.1,2945.65
297,B016,2022-02-25,HVAC,Corrective,3.1,785.15
298,B016,2020-11-19,Elevator,Corrective,3.2,1344.46
299,B017,2021-09-21,HVAC,Preventive,2.2,2579.39
300,B017,2021-05-03,Elevator,Corrective,5.6,474.95
301,B017,2021-07-18,Electrical,Preventive,1.8,329.26
302,B017,2020-01-16,HVAC,Preventive,2.3,805.01
303,B017,2022-12-03,Lighting,Preventive,4.9,1014.97
304,B017,2021-10-08,Lighting,Preventive,1.1,2465.18
305,B017,2021-08-16,Lighting,Preventive,1.3,374.09
306,B017,2021-01-11,Elevator,Preventive,3.4,736.55
307,B018,2021-08-27,Elevator,Preventive,2.0,2677.4
308,B018,2023-03-28,Elevator,Preventive,0.5,2665.4
309,B018,2020-07-24,HVAC,Corrective,2.9,681.09
310,B018,2023-11-24,Elevator,Corrective,2.3,1581.4
311,B018,2020-06-07,Electrical,Preventive,3.2,1690.35
312,B018,2024-09-14,Lighting,Corrective,4.0,1482.45
313,B018,2020-07-16,HVAC,Corrective,5.2,2859.98
314,B018,2024-07-25,HVAC,Corrective,3.1,2094.43
315,B019,2023-11-12,Electrical,Corrective,5.0,710.4
316,B019,2024-12-29,HVAC,Preventive,5.1,811.93
317,B019,2024-11-05,Elevator,Preventive,1.1,1200.41
318,B019,2024-11-10,HVAC,Corrective,5.2,1044.66
319,B019,2021-08-03,Boiler,Preventive,0.9,589.51
320,B019,2022-03-24,Electrical,Preventive,4.9,2558.05
321,B019,2023-08-11,Lighting,Preventive,4.3,633.07
322,B019,2023-12-28,Elevator,Preventive,2.5,252.55
323,B019,2021-07-07,Lighting,Corrective,3.4,2723.47
324,B019,2021-02-01,Electrical,Preventive,5.3,1856.71
325,B019,2022-09-06,Elevator,Preventive,2.9,587.83
326,B019,2020-04-02,HVAC,Preventive,1.6,2158.86
327,B019,2021-03-27,Boiler,Preventive,1.5,1888.15
328,B019,2022-03-15,Boiler,Corrective,5.4,2712.84
329,B020,2022-09-14,Elevator,Corrective,4.2,1427.97
330,B020,2022-10-31,HVAC,Preventive,5.9,1152.96
331,B020,2021-07-17,Elevator,Preventive,5.7,259.71
332,B020,2020-01-26,Elevator,Preventive,1.0,1207.16
333,B020,2023-11-06,Boiler,Corrective,5.8,2873.71
334,B020,2024-07-17,Lighting,Preventive,1.2,2204.66
335,B020,2021-01-13,HVAC,Preventive,1.5,894.22
336,B020,2024-05-02,Boiler,Preventive,1.2,820.46
337,B020,2020-10-28,Elevator,Preventive,5.0,1431.02
338,B020,2024-12-05,Lighting,Corrective,3.2,2716.49
339,B020,2024-02-25,Electrical,Corrective,3.0,999.65
340,B021,2023-09-05,Lighting,Corrective,3.6,1765.32
341,B021,2022-11-04,Lighting,Preventive,2.7,1485.59
342,B021,2022-08-26,Lighting,Corrective,2.9,2746.64
343,B021,2022-08-18,Elevator,Preventive,5.1,947.86
344,B021,2022-02-21,Elevator,Corrective,5.1,1521.64
345,B021,2022-04-06,Electrical,Preventive,5.0,1763.69
346,B021,2022-09-14,Elevator,Preventive,1.2,1501.8
347,B021,2021-06-29,Boiler,Corrective,1.0,1923.1
348,B021,2021-06-22,HVAC,Corrective,3.2,2249.01
349,B021,2022-11-07,Elevator,Corrective,5.4,2819.69
350,B021,2023-07-31,Boiler,Preventive,4.4,1090.8
351,B021,2021-06-09,Electrical,Corrective,2.7,1025.71
352,B021,2024-11-04,Boiler,Corrective,3.5,391.08
353,B021,2020-05-28,HVAC,Preventive,4.1,2137.39
354,B021,2021-05-16,Electrical,Corrective,5.2,369.32
355,B022,2020-06-11,Electrical,Corrective,5.9,1355.89
356,B022,2021-01-11,HVAC,Preventive,5.2,2650.2
357,B022,2022-02-12,Electrical,Preventive,5.0,2373.0
358,B022,2023-10-24,Electrical,Preventive,6.0,2415.93
359,B022,2024-02-09,Electrical,Corrective,4.6,529.18
360,B022,2024-07-10,Electrical,Preventive,5.9,1735.64
361,B022,2023-08-16,Boiler,Corrective,5.9,1559.25
362,B022,2020-12-09,Electrical,Preventive,0.7,2574.86
363,B022,2024-08-06,Lighting,Corrective,4.6,1016.37
364,B022,2020-10-06,Electrical,Corrective,5.6,2178.73
365,B022,2021-08-14,HVAC,Preventive,4.3,1603.34
366,B022,2024-08-09,Electrical,Corrective,2.8,1208.99
367,B023,2021-06-22,Boiler,Corrective,2.9,2464.97
368,B023,2020-05-02,Boiler,Preventive,5.0,2496.65
369,B023,2020-11-14,Boiler,Corrective,2.2,2776.09
370,B023,2021-09-19,Elevator,Preventive,2.4,1624.65
371,B023,2022-09-16,Electrical,Preventive,2.7,1111.95
372,B023,2024-08-28,Elevator,Preventive,3.0,1129.08
373,B023,2022-08-17,HVAC,Preventive,0.8,281.07
374,B023,2022-12-03,Elevator,Corrective,1.3,266.8
375,B023,2022-05-07,Electrical,Preventive,5.7,535.89
376,B023,2020-05-18,HVAC,Preventive,4.3,1202.17
377,B024,2023-08-22,Electrical,Corrective,2.8,337.88
378,B024,2022-09-05,Boiler,Preventive,3.1,1047.03
379,B024,2020-09-23,Elevator,Corrective,1.3,1738.61
380,B024,2023-05-11,HVAC,Preventive,1.9,219.72
381,B024,2024-08-28,Elevator,Preventive,2.2,2992.18
382,B024,2023-09-23,HVAC,Preventive,5.7,2560.94
383,B024,2023-12-13,Boiler,Preventive,0.9,318.02
384,B024,2024-07-19,Boiler,Preventive,1.1,2008.76
385,B025,2024-01-06,Lighting,Preventive,2.1,999.34
386,B025,2020-11-01,Elevator,Preventive,4.2,754.47
387,B025,2024-09-10,Boiler,Preventive,2.3,236.64
388,B025,2023-07-28,Elevator,Preventive,1.6,2048.82
389,B025,2023-07-29,HVAC,Preventive,0.6,2039.15
390,B025,2023-11-08,Boiler,Preventive,2.5,985.33
391,B025,2024-11-21,HVAC,Preventive,3.3,1296.49
392,B025,2024-12-15,Lighting,Corrective,5.7,740.35
393,B025,2020-07-10,Lighting,Preventive,2.6,2872.88
394,B026,2023-03-27,Lighting,Corrective,2.8,710.77
395,B026,2023-05-14,Boiler,Preventive,1.2,367.86
396,B026,2024-03-10,Boiler,Corrective,0.9,2299.41
397,B026,2023-09-25,HVAC,Preventive,1.1,530.46
398,B026,2024-05-09,Elevator,Corrective,1.2,1439.09
399,B026,2024-11-15,Electrical,Preventive,2.8,473.8
400,B026,2020-06-12,Electrical,Preventive,0.9,1287.36
401,B026,2024-05-27,HVAC,Preventive,5.9,1133.97
402,B026,2023-11-07,Boiler,Preventive,5.8,2021.63
403,B026,2024-01-18,Elevator,Preventive,1.0,1133.76
404,B027,2020-07-25,HVAC,Preventive,4.0,1563.21
405,B027,2024-10-21,Electrical,Preventive,3.4,1915.94
406,B027,2020-01-22,Electrical,Preventive,2.2,1530.35
407,B027,2020-06-14,Lighting,Corrective,2.6,1092.26
408,B027,2024-11-21,Boiler,Corrective,3.4,1292.51
409,B027,2023-09-05,HVAC,Preventive,1.1,1972.1
410,B027,2022-07-30,Lighting,Preventive,4.9,394.56
411,B027,2020-09-21,Lighting,Preventive,4.2,860.23
412,B027,2023-07-10,Electrical,Preventive,2.4,822.2
413,B027,2023-08-05,Elevator,Corrective,5.6,2686.84
414,B027,2024-06-10,Boiler,Preventive,2.9,2027.01
415,B027,2023-11-12,Lighting,Preventive,1.4,355.97
416,B027,2023-10-26,Electrical,Preventive,1.9,771.59
417,B027,2021-08-04,HVAC,Preventive,1.2,1903.2
418,B027,2020-06-02,HVAC,Corrective,1.0,1810.01
419,B028,2024-08-10,Electrical,Preventive,3.4,2635.96
420,B028,2020-06-26,Electrical,Corrective,2.7,2234.26
421,B028,2022-09-22,Boiler,Corrective,5.0,1061.98
422,B028,2022-03-22,Elevator,Corrective,2.0,1611.64
423,B028,2024-05-31,HVAC,Preventive,0.7,2678.82
424,B028,2024-02-17,Lighting,Corrective,2.3,611.43
425,B028,2022-06-03,Boiler,Preventive,2.7,2305.54
426,B028,2021-01-15,Lighting,Preventive,3.0,2621.74
427,B028,2021-09-03,Lighting,Corrective,4.5,512.96
428,B029,2024-11-12,Elevator,Preventive,5.5,392.83
429,B029,2022-07-15,HVAC,Preventive,2.2,1306.5
430,B029,2020-06-14,Electrical,Preventive,3.4,1019.23
431,B029,2023-06-02,HVAC,Corrective,2.4,208.77
432,B029,2021-04-11,Boiler,Corrective,2.7,1031.43
433,B029,2023-12-03,HVAC,Preventive,5.4,968.12
434,B029,2021-06-24,Boiler,Corrective,2.4,1843.41
435,B029,2020-03-24,Elevator,Corrective,1.9,2017.53
436,B029,2024-05-14,Elevator,Preventive,0.8,441.92
437,B029,2023-07-15,Electrical,Preventive,5.1,1994.83
438,B029,2024-04-27,HVAC,Corrective,5.8,827.38
439,B029,2023-12-04,Elevator,Preventive,5.4,305.64
440,B029,2024-03-07,HVAC,Preventive,2.9,345.87
441,B029,2022-10-08,Elevator,Preventive,1.9,1525.86
442,B029,2021-12-04,Lighting,Corrective,3.7,1946.25
443,B030,2022-07-17,HVAC,Preventive,1.1,1870.26
444,B030,2021-06-25,Elevator,Preventive,3.7,1025.53
445,B030,2023-09-12,Lighting,Preventive,0.7,1310.91
446,B030,2021-01-20,HVAC,Preventive,2.6,365.03
447,B030,2024-07-13,Lighting,Preventive,4.1,2072.94
448,B030,2020-01-12,Electrical,Corrective,4.8,1946.99
449,B030,2022-02-09,Lighting,Preventive,5.2,963.28
450,B030,2023-12-18,Lighting,Preventive,4.3,1941.42
451,B030,2023-08-16,Elevator,Preventive,3.2,1422.71
452,B030,2024-10-16,Elevator,Corrective,1.6,823.67
